date,open,high,low,close,volume,ticker
2015-09-25,182.3552,182.6925,179.7038,180.6782,155054777,SPY
2015-09-28,179.6757,179.7975,175.797,176.1436,178515871,SPY
2015-09-29,176.3872,177.7644,175.1318,176.2467,159045572,SPY
2015-09-30,178.3547,179.7179,177.4834,179.5352,163452044,SPY
2015-10-01,179.9568,180.3409,177.8394,180.0036,131078964,SPY
2015-10-02,177.7926,182.7206,177.1836,182.6925,211003342,SPY
2015-10-05,184.0603,186.1964,183.9385,185.9434,126320842,SPY
2015-10-06,185.7935,186.4213,184.5662,185.3064,110274530,SPY
2015-10-07,186.3463,187.2129,185.0159,186.8241,124307295,SPY
2015-10-08,186.3932,188.8291,186.0559,188.5105,153055231,SPY
2015-10-09,188.6698,189.157,187.9203,188.6229,107069240,SPY
2015-10-12,188.7073,189.0258,188.2294,188.8009,56395585,SPY
2015-10-13,187.9859,189.4006,187.4237,187.6111,88038718,SPY
2015-10-14,187.5455,188.192,186.3838,186.7117,99106161,SPY
2015-10-15,187.4518,189.5879,187.0396,189.5786,134142195,SPY
2015-10-16,190.0283,190.4592,189.1757,190.4405,114580052,SPY
2015-10-19,189.7191,190.5342,189.3724,190.5342,76523897,SPY
2015-10-20,190.047,190.9745,189.7632,190.2719,78448484,SPY
2015-10-21,190.759,190.9277,188.9227,189.1101,102038033,SPY
2015-10-22,190.1688,192.5391,189.1101,192.3049,174911723,SPY
2015-10-23,194.1693,194.8251,193.2793,194.4129,144442340,SPY
2015-10-26,194.2161,194.2817,193.5228,193.9351,69032965,SPY
2015-10-27,193.1856,193.9351,192.8014,193.5603,77905770,SPY
2015-10-28,193.9351,195.7901,193.1949,195.762,135906725,SPY
2015-10-29,195.1999,196.0618,195.0687,195.6496,90525498,SPY
2015-10-30,195.8651,196.2211,194.6284,194.8064,131076942,SPY
2015-11-02,195.1718,197.3266,195.0312,197.1111,86270811,SPY
2015-11-03,196.7176,198.301,196.4647,197.6826,95246052,SPY
2015-11-04,198.0105,198.1511,196.4835,197.083,96224477,SPY
2015-11-05,197.1486,197.6639,195.8932,196.8863,78408744,SPY
2015-11-06,196.5021,197.0455,195.3029,196.7832,110471473,SPY
2015-11-09,196.0993,196.2679,193.8882,194.9469,131008660,SPY
2015-11-10,194.4129,195.4341,194.1131,195.3966,75874602,SPY
2015-11-11,195.6964,195.7526,194.5534,194.6284,67845971,SPY
2015-11-12,193.4666,193.9913,191.8927,191.9114,121315200,SPY
2015-11-13,191.4523,191.7521,189.6582,189.7566,153577050,SPY
2015-11-16,189.5505,192.7078,189.4193,192.6422,117645231,SPY
2015-11-17,192.9888,193.9726,191.9489,192.5016,121123744,SPY
2015-11-18,193.0357,195.7152,192.9888,195.5559,121342544,SPY
2015-11-19,195.4247,195.8557,195.0593,195.3872,88220465,SPY
2015-11-20,196.2304,196.8582,195.6777,196.1,94011519,SPY
2015-11-23,196.1649,196.727,195.3591,195.8744,64931172,SPY
2015-11-24,194.7502,196.5865,194.3192,196.1368,98874365,SPY
2015-11-25,196.2773,196.5021,195.8182,196.1086,51980062,SPY
2015-11-27,196.2117,196.5584,195.6777,196.3335,37317779,SPY
2015-11-30,196.5115,196.6427,195.3966,195.5184,112822700,SPY
2015-12-01,196.2211,197.514,195.9119,197.3828,97858418,SPY
2015-12-02,197.3219,197.6826,195.0874,195.3676,108441259,SPY
2015-12-03,195.6496,195.9494,191.8281,192.6328,166224154,SPY
2015-12-04,193.0731,196.7176,192.9326,196.3897,192913879,SPY
2015-12-07,196.0243,196.4923,194.1225,195.1999,102027111,SPY
2015-12-08,193.4573,195.1427,192.7921,193.8873,103372367,SPY
2015-12-09,193.1762,195.509,191.2931,192.3798,162401537,SPY
2015-12-10,192.4548,194.3379,192.1925,192.8764,116128884,SPY
2015-12-11,190.5154,191.2556,188.7916,189.1382,211125329,SPY
2015-12-14,189.3162,190.2344,187.33,190.0946,182385177,SPY
2015-12-15,191.7802,193.1012,190.0626,192.0902,154069569,SPY
2015-12-16,193.3402,195.2373,191.8739,194.9001,197017008,SPY
2015-12-17,195.2467,195.3217,191.9114,191.9301,173092476,SPY
2015-12-18,191.1022,191.253,188.3314,188.5112,251393535,SPY
2015-12-21,189.8205,190.2634,188.5764,190.0655,99094290,SPY
2015-12-22,191.0504,192.1201,189.9524,191.7902,111026246,SPY
2015-12-23,192.9118,194.2123,192.8081,194.1652,110987228,SPY
2015-12-24,193.8825,194.4574,193.5997,193.8448,48542150,SPY
2015-12-28,193.072,193.449,192.2049,193.4018,65899939,SPY
2015-12-29,194.627,195.8334,194.5893,195.4658,92640672,SPY
2015-12-30,195.1925,195.2867,193.9202,194.0804,63317679,SPY
2015-12-31,193.3264,194.0427,192.1389,192.1389,114877859,SPY
2016-01-04,188.9534,189.4624,187.1628,189.4522,222353534,SPY
2016-01-05,189.8111,190.2823,188.5387,189.7734,110845849,SPY
2016-01-06,186.9271,188.5482,186.2297,187.3795,152112604,SPY
2016-01-07,184.0903,186.0789,182.4505,182.884,213436073,SPY
2016-01-08,183.9584,184.5804,180.5561,180.8794,209817228,SPY
2016-01-11,181.9038,182.2808,178.8974,181.0556,187941323,SPY
2016-01-12,182.6672,183.3552,180.1414,182.5172,172330490,SPY
2016-01-13,183.261,183.6474,177.5403,177.9644,221168886,SPY
2016-01-14,178.6429,182.1395,176.8617,180.886,240795609,SPY
2016-01-15,176.0229,177.8984,174.8448,177.0031,324846447,SPY
2016-01-19,179.0293,179.1707,175.4857,177.2387,195244373,SPY
2016-01-20,174.383,176.7062,170.6038,174.9673,286547839,SPY
2016-01-21,175.4951,178.0021,174.0155,175.9475,195772941,SPY
2016-01-22,178.8597,179.7833,178.0115,179.5571,168319598,SPY
2016-01-25,178.9916,179.2084,176.6261,176.8428,130371686,SPY
2016-01-26,177.578,179.5665,177.201,179.2555,141036757,SPY
2016-01-27,178.6712,180.5373,176.2962,177.3046,185681707,SPY
2016-01-28,179.0293,179.2555,176.3905,178.2283,143798780,SPY
2016-01-29,179.0859,182.7238,178.9539,182.5737,210529336,SPY
2016-02-01,181.4515,183.3835,180.8012,182.507,136061564,SPY
2016-02-02,180.9143,180.9237,178.6335,179.2178,182564890,SPY
2016-02-03,180.3959,180.7446,176.3339,180.2922,205054934,SPY
2016-02-04,179.7362,181.6588,179.0293,180.575,139531794,SPY
2016-02-05,180.0001,180.6406,176.4282,177.135,180788308,SPY
2016-02-08,175.0804,175.4103,172.2813,174.7506,191526694,SPY
2016-02-09,172.8091,176.1831,172.6583,174.76,184513136,SPY
2016-02-10,175.6836,177.5026,174.4678,174.6092,148214057,SPY
2016-02-11,171.8478,173.5065,170.6697,172.3379,219058885,SPY
2016-02-12,174.3171,175.9098,173.3746,175.891,127632393,SPY
2016-02-16,177.9078,178.888,176.8334,178.8597,120250668,SPY
2016-02-17,180.1603,182.196,180.0189,181.7813,136009496,SPY
2016-02-18,182.0829,182.1489,180.6881,181.0368,102342997,SPY
2016-02-19,180.1697,181.1216,179.4911,180.952,114792988,SPY
2016-02-22,182.7144,183.7322,182.639,183.572,103640292,SPY
2016-02-23,182.8369,183.1385,181.1216,181.2535,111455289,SPY
2016-02-24,179.6608,182.3939,178.4262,182.0829,150812152,SPY
2016-02-25,182.5824,184.2977,181.7342,184.2883,110728317,SPY
2016-02-26,185.259,185.3627,183.6851,183.8634,129833663,SPY
2016-02-29,183.883,184.9386,182.2054,182.4222,125918102,SPY
2016-03-01,183.7888,186.8046,183.2649,186.7104,141799687,SPY
2016-03-02,186.3617,187.6057,185.8999,187.5492,102414960,SPY
2016-03-03,187.3512,188.2984,186.7104,188.2796,95172197,SPY
2016-03-04,188.501,189.7639,187.5774,188.8969,129293601,SPY
2016-03-07,187.8696,189.5001,187.7848,189.0477,100218998,SPY
2016-03-08,187.8507,188.4162,186.8046,186.9837,123974866,SPY
2016-03-09,187.8884,188.2937,187.012,187.9073,94801213,SPY
2016-03-10,188.4539,189.5001,186.0224,188.0581,156838697,SPY
2016-03-11,189.6791,191.1399,188.0373,191.0928,138243024,SPY
2016-03-14,190.5273,191.3567,190.1598,190.8478,74176589,SPY
2016-03-15,189.7734,190.8767,189.4812,190.5368,93298821,SPY
2016-03-16,189.9996,192.0918,189.9524,191.6394,129303179,SPY
2016-03-17,191.5452,193.4207,191.1022,192.8548,134143421,SPY
2016-03-18,193.4137,193.9916,193.0632,193.6126,138372404,SPY
2016-03-21,193.319,194.1431,193.0632,193.8873,72926659,SPY
2016-03-22,193.0253,194.4178,192.8453,193.7831,97471939,SPY
2016-03-23,193.3569,193.5653,192.3148,192.5035,81052455,SPY
2016-03-24,191.358,192.4569,191.1117,192.419,84360853,SPY
2016-03-28,192.8832,193.12,192.0259,192.5327,62408185,SPY
2016-03-29,192.078,194.4368,191.7369,194.3144,92922863,SPY
2016-03-30,195.4315,195.9714,194.7589,195.1662,86365310,SPY
2016-03-31,195.062,195.5357,194.5126,194.6926,94584110,SPY
2016-04-01,193.5842,196.2272,193.2337,196.0188,114423478,SPY
2016-04-04,195.9336,196.1609,195.0431,195.3841,63496969,SPY
2016-04-05,193.8873,195.3976,193.1484,193.4319,99662158,SPY
2016-04-06,193.5274,195.6115,193.2337,195.5452,91839761,SPY
2016-04-07,194.3326,194.7305,192.3906,193.2053,113859037,SPY
2016-04-08,194.5221,195.0052,193.1295,193.7255,95040598,SPY
2016-04-11,194.4368,195.2136,193.1674,193.2717,83757486,SPY
2016-04-12,193.4611,195.3841,192.9685,195.0715,115350567,SPY
2016-04-13,196.0946,197.1366,195.943,197.0427,96336433,SPY
2016-04-14,197.1082,197.6103,196.663,197.0514,65212883,SPY
2016-04-15,197.0514,197.2049,196.4735,196.8335,75761615,SPY
2016-04-18,196.2272,198.2545,196.0946,198.2158,82530960,SPY
2016-04-19,198.6902,199.126,197.9324,198.8418,88316060,SPY
2016-04-20,198.8892,199.8081,198.3587,199.0313,81100314,SPY
2016-04-21,199.0502,199.1734,197.6577,197.9608,85695041,SPY
2016-04-22,197.5629,198.264,196.9567,197.9608,99251724,SPY
2016-04-25,197.2882,197.6671,196.6061,197.6198,66166494,SPY
2016-04-26,198.0271,198.4818,197.3829,197.9127,75864174,SPY
2016-04-27,197.4872,198.7566,197.0893,198.3208,77329437,SPY
2016-04-28,197.4777,198.7092,196.0567,196.5185,97216169,SPY
2016-04-29,195.8293,196.2177,194.2284,195.4607,142424137,SPY
2016-05-02,196.0188,197.2124,195.5357,197.0135,62188015,SPY
2016-05-03,195.6399,195.9051,194.4652,195.2981,106422142,SPY
2016-05-04,194.1905,195.0052,193.6505,194.2094,92243810,SPY
2016-05-05,194.7305,195.1283,193.6979,194.1715,67619222,SPY
2016-05-06,193.3095,194.9294,193.139,194.882,89315004,SPY
2016-05-09,194.7399,195.5262,194.541,195.0423,74374922,SPY
2016-05-10,195.8293,197.5156,195.7536,197.4682,77472207,SPY
2016-05-11,196.9567,197.5535,195.6209,195.6209,81726989,SPY
2016-05-12,196.3693,196.5587,194.5505,195.6778,89586308,SPY
2016-05-13,195.3462,195.962,193.6126,193.9726,96474630,SPY
2016-05-16,194.1621,196.4167,194.0958,195.8862,77486827,SPY
2016-05-17,195.583,195.9051,193.4705,194.0586,114924940,SPY
2016-05-18,193.6695,195.4315,192.9021,194.1147,123493379,SPY
2016-05-19,193.3095,193.7642,192.0969,193.4421,115430507,SPY
2016-05-20,194.1242,195.242,194.0673,194.6641,104990408,SPY
2016-05-23,194.6831,194.9957,194.1858,194.3989,58682576,SPY
2016-05-24,195.3083,197.2693,195.2799,196.9188,93537808,SPY
2016-05-25,197.6766,198.7187,196.9179,198.2545,79221525,SPY
2016-05-26,198.4061,198.6618,197.9608,198.3113,55280699,SPY
2016-05-27,198.4913,199.1734,198.4345,199.1639,64211214,SPY
2016-05-31,199.467,199.5902,198.1597,198.785,109879380,SPY
2016-06-01,198.1029,199.3913,197.885,199.1923,69936215,SPY
2016-06-02,198.7471,199.8176,198.2165,199.7986,63044749,SPY
2016-06-03,199.1734,199.5902,197.8566,199.2018,101757126,SPY
2016-06-06,199.5997,200.6133,199.4197,200.2154,64887045,SPY
2016-06-07,200.3812,201.1533,200.3575,200.528,60974761,SPY
2016-06-08,200.6796,201.3238,200.5374,201.1817,66170920,SPY
2016-06-09,200.367,201.0396,200.0639,200.907,73786869,SPY
2016-06-10,199.3723,199.7512,198.3966,199.0029,113829158,SPY
2016-06-13,198.3303,199.2871,197.3735,197.4675,117751153,SPY
2016-06-14,197.0419,197.7429,196.0187,197.0798,125059286,SPY
2016-06-15,197.5535,198.3303,196.5967,196.8051,109124496,SPY
2016-06-16,195.8388,197.5819,194.7589,197.391,149533065,SPY
2016-06-17,197.2767,197.3053,195.9246,196.6578,117055748,SPY
2016-06-20,198.848,199.6002,197.829,197.9243,82789603,SPY
2016-06-21,198.3528,198.9432,197.8576,198.4861,72461663,SPY
2016-06-22,198.6861,199.4955,198.0005,198.1623,95560471,SPY
2016-06-23,199.7907,200.8001,199.2765,200.7429,102731356,SPY
2016-06-24,193.9058,200.7775,193.0393,193.4297,333444397,SPY
2016-06-27,191.9632,191.9727,189.1636,190.0682,248988660,SPY
2016-06-28,191.8585,193.5249,191.5157,193.496,159382399,SPY
2016-06-29,195.058,197.0482,194.9437,196.7911,137328614,SPY
2016-06-30,197.3148,199.5336,196.6959,199.4717,165021948,SPY
2016-07-01,199.3622,200.4382,199.2955,199.8962,106055333,SPY
2016-07-05,198.9717,199.0955,197.791,198.4575,109803713,SPY
2016-07-06,197.9052,199.7812,197.172,199.6478,96021491,SPY
2016-07-07,199.8478,200.5901,198.667,199.5202,85593827,SPY
2016-07-08,200.9715,202.7712,200.7129,202.4951,133970972,SPY
2016-07-11,203.0093,203.8472,202.7807,203.2092,73633937,SPY
2016-07-12,204.2853,205.0185,203.2386,204.6852,101275629,SPY
2016-07-13,205.1518,205.1613,204.1139,204.6567,87324129,SPY
2016-07-14,206.066,206.3231,205.3613,205.7993,91230870,SPY
2016-07-15,206.4278,206.6492,205.0261,205.5232,107155401,SPY
2016-07-18,205.6565,206.2564,205.3708,206.0747,58725918,SPY
2016-07-19,205.6089,205.9041,205.3327,205.866,54345728,SPY
2016-07-20,206.3993,206.9897,205.9136,206.7183,58159457,SPY
2016-07-21,206.5992,206.8468,205.447,205.9374,67777310,SPY
2016-07-22,206.0755,206.923,205.7803,206.8659,62787477,SPY
2016-07-25,206.6373,206.6945,205.6565,206.304,55873147,SPY
2016-07-26,206.1898,206.7992,205.4565,206.3993,70080493,SPY
2016-07-27,206.8182,206.8944,205.3232,206.1802,84083893,SPY
2016-07-28,205.9612,206.7421,205.447,206.4183,65035718,SPY
2016-07-29,206.1231,207.1515,205.8089,206.7516,79519436,SPY
2016-08-01,206.8182,207.2563,206.0707,206.5802,73311422,SPY
2016-08-02,206.304,206.4754,204.3234,205.2558,92295506,SPY
2016-08-03,205.1899,205.9184,204.8566,205.8565,53993626,SPY
2016-08-04,205.9803,206.4278,204.0186,206.0752,46585528,SPY
2016-08-05,206.8373,207.8086,206.704,207.761,71892161,SPY
2016-08-08,207.9705,208.0847,207.342,207.6372,39906479,SPY
2016-08-09,207.7134,208.3133,207.3991,207.761,51251728,SPY
2016-08-10,207.8848,207.9741,206.8563,207.2468,57941092,SPY
2016-08-11,207.8372,208.4847,207.542,208.2085,72504270,SPY
2016-08-12,207.8657,208.2657,207.58,208.0276,61313544,SPY
2016-08-15,208.4371,209.0179,208.4275,208.6275,49813482,SPY
2016-08-16,208.1609,208.2371,207.5515,207.5515,53213621,SPY
2016-08-17,207.5896,208.0943,206.6564,207.9419,75134339,SPY
2016-08-18,207.9133,208.4466,207.7895,208.4085,52989266,SPY
2016-08-19,207.8848,208.3038,207.342,208.1038,75443004,SPY
2016-08-22,207.8372,208.3514,207.4277,208.0943,61368766,SPY
2016-08-23,208.7799,209.1132,208.4466,208.5132,53399159,SPY
2016-08-24,208.3514,208.4561,206.9801,207.4467,71728949,SPY
2016-08-25,207.0182,207.7705,206.8468,207.3039,69224776,SPY
2016-08-26,207.5134,208.6561,205.9231,206.9135,122506348,SPY
2016-08-29,207.0563,208.2228,207.0182,207.9331,70502167,SPY
2016-08-30,207.8372,208.1514,206.9706,207.5896,58114543,SPY
2016-08-31,207.2182,207.3515,206.1279,206.9992,85269453,SPY
2016-09-01,206.9897,207.3325,205.7136,207.0087,97844207,SPY
2016-09-02,207.9609,208.418,207.3039,207.9419,79293856,SPY
2016-09-06,208.2561,208.6561,207.4563,208.5711,56702089,SPY
2016-09-07,208.3895,208.7513,207.8752,208.5513,76554855,SPY
2016-09-08,208.18,208.4847,207.7324,208.0752,74102880,SPY
2016-09-09,206.6088,206.6659,203.0664,203.095,221589073,SPY
2016-09-12,202.2475,206.4564,202.1713,206.0088,168110913,SPY
2016-09-13,204.5805,204.8756,202.3522,203.0474,182828839,SPY
2016-09-14,203.1045,204.4472,202.3522,202.9712,134185491,SPY
2016-09-15,202.7902,205.428,202.5903,204.9995,145736123,SPY
2016-09-16,204.3123,204.5133,203.4414,204.207,155236354,SPY
2016-09-19,204.9344,205.6522,203.8816,204.2453,80250490,SPY
2016-09-20,205.2024,205.3746,204.2166,204.2549,69665279,SPY
2016-09-21,205.0397,206.7528,204.274,206.5518,110284425,SPY
2016-09-22,207.6811,208.1884,207.4036,207.8534,76678713,SPY
2016-09-23,207.4132,207.5663,206.6092,206.7145,73630921,SPY
2016-09-26,205.7862,205.9871,204.8195,205.0397,89827305,SPY
2016-09-27,204.8578,206.4178,204.4463,206.3125,78494829,SPY
2016-09-28,206.5614,207.5089,205.4895,207.3366,87411015,SPY
2016-09-29,207.1069,207.5567,204.8482,205.4608,128070615,SPY
2016-09-30,206.3891,207.796,206.1116,207.0112,117202914,SPY
2016-10-03,206.5518,206.7624,205.8053,206.5135,83512057,SPY
2016-10-04,206.6379,206.8868,204.8004,205.4608,119948052,SPY
2016-10-05,206.1594,206.8485,206.0828,206.37,72815963,SPY
2016-10-06,206.1211,206.7624,205.5134,206.5135,62927376,SPY
2016-10-07,206.8198,207.0112,204.9918,205.8053,89788255,SPY
2016-10-10,206.8724,207.394,206.7097,206.8772,51855023,SPY
2016-10-11,206.3987,206.4752,203.4509,204.2644,130367373,SPY
2016-10-12,204.4176,205.1162,203.8625,204.5324,73866117,SPY
2016-10-13,203.049,204.4176,202.1398,203.8625,101356960,SPY
2016-10-14,204.9535,205.4703,203.8816,203.9678,93346237,SPY
2016-10-17,203.939,204.2262,203.0585,203.2595,58275674,SPY
2016-10-18,205.0397,205.1066,204.1113,204.5324,76869656,SPY
2016-10-19,204.8291,205.4225,204.4271,205.0779,66519224,SPY
2016-10-20,204.6855,205.3172,203.9582,204.6951,73639830,SPY
2016-10-21,203.8146,204.8865,203.6232,204.7908,89089092,SPY
2016-10-24,205.767,206.0733,205.2693,205.6617,60146592,SPY
2016-10-25,205.4608,205.7479,204.7908,204.9727,66542329,SPY
2016-10-26,204.0539,205.2119,203.7859,204.5611,75705478,SPY
2016-10-27,205.3651,205.4033,203.9295,204.0156,77220213,SPY
2016-10-28,203.9869,204.743,202.6183,203.4127,140623183,SPY
2016-10-31,203.7859,204.0347,203.2404,203.4222,61272507,SPY
2016-11-01,203.7859,203.8433,200.5989,201.9484,122781818,SPY
2016-11-02,201.6038,202.0345,200.2448,200.7329,103330806,SPY
2016-11-03,200.9722,201.2114,199.5079,199.8141,88939346,SPY
2016-11-04,199.9385,200.8765,199.4313,199.594,109122059,SPY
2016-11-07,202.3695,204.0347,202.2259,203.9965,109794861,SPY
2016-11-08,203.5562,205.5469,203.2595,204.9152,106772138,SPY
2016-11-09,203.25,207.7768,203.2212,207.087,258428972,SPY
2016-11-10,207.9682,208.9349,205.9776,207.6046,172113313,SPY
2016-11-11,206.8006,207.394,206.0733,207.126,100552732,SPY
2016-11-14,207.7098,207.9395,206.4561,207.2887,94579982,SPY
2016-11-15,207.7194,208.9062,207.4897,208.9062,91652580,SPY
2016-11-16,208.2171,208.7722,208.0831,208.5138,65617697,SPY
2016-11-17,208.686,209.6527,208.5616,209.5857,69797191,SPY
2016-11-18,209.6622,209.8536,208.9157,209.1167,86265751,SPY
2016-11-21,209.7579,210.7246,209.5952,210.6959,72402638,SPY
2016-11-22,211.0404,211.3084,210.2939,211.1074,67428957,SPY
2016-11-23,210.5332,211.2797,210.313,211.2222,56620237,SPY
2016-11-25,211.6051,212.0453,211.5189,212.007,37872255,SPY
2016-11-28,211.6625,211.9687,210.8968,211.0117,76572511,SPY
2016-11-29,211.05,211.9305,210.715,211.4232,69886690,SPY
2016-11-30,212.1123,212.2941,210.849,210.916,113291793,SPY
2016-12-01,211.2509,211.2509,209.7388,210.1408,79040487,SPY
2016-12-02,210.2365,210.7916,209.8441,210.246,74840347,SPY
2016-12-05,211.1744,211.8922,210.9543,211.5094,67837821,SPY
2016-12-06,211.7199,212.2215,211.1859,212.1793,59877377,SPY
2016-12-07,212.007,215.0217,211.873,214.9548,110738050,SPY
2016-12-08,214.926,216.0075,214.6294,215.4811,99714387,SPY
2016-12-09,215.73,216.8019,215.6917,216.7827,88005766,SPY
2016-12-12,216.6775,217.2134,216.0649,216.5339,101906238,SPY
2016-12-13,217.2708,218.5341,217.2517,217.979,110477485,SPY
2016-12-14,217.6441,218.4289,215.6869,216.1798,142501812,SPY
2016-12-15,216.4478,218.0269,216.1897,217.0698,124972554,SPY
2016-12-16,217.579,217.6464,216.289,216.6452,156420152,SPY
2016-12-19,216.8473,217.5886,216.6837,217.1169,90341147,SPY
2016-12-20,217.7138,218.1181,217.4538,217.9544,89838810,SPY
2016-12-21,217.81,218.0026,217.3479,217.3479,67909039,SPY
2016-12-22,217.1843,217.3191,216.5297,216.9725,56219071,SPY
2016-12-23,217.0206,217.2998,216.8088,217.2902,36697822,SPY
2016-12-27,217.5886,218.2721,217.5694,217.8293,42672487,SPY
2016-12-28,218.1181,218.1374,215.9039,216.0291,64095014,SPY
2016-12-29,216.1061,216.5008,215.4899,215.9809,48696080,SPY
2016-12-30,216.3467,216.443,214.4214,215.1915,108998328,SPY
2017-01-03,216.6452,217.4057,215.532,216.8377,91366522,SPY
2017-01-04,217.2035,218.2914,217.1939,218.1277,78744433,SPY
2017-01-05,217.8293,218.1277,217.0688,217.9544,78379012,SPY
2017-01-06,218.0796,219.2541,217.4731,218.7342,71559922,SPY
2017-01-09,218.4454,218.5996,217.9701,218.0122,46939676,SPY
2017-01-10,218.0315,218.9653,217.579,218.0122,63771939,SPY
2017-01-11,217.9159,218.6283,217.1747,218.6283,74650016,SPY
2017-01-12,218.0507,218.2914,216.5634,218.0796,72113181,SPY
2017-01-13,218.2721,218.9171,218.2336,218.5802,62717865,SPY
2017-01-17,217.8678,218.3203,217.3768,217.81,61240814,SPY
2017-01-18,218.0844,218.3395,217.4731,218.2914,54793302,SPY
2017-01-19,218.378,218.5321,217.0014,217.4827,66608787,SPY
2017-01-20,218.2433,218.8305,217.5423,218.2818,129168623,SPY
2017-01-23,217.9063,218.3443,216.8666,217.7138,75061645,SPY
2017-01-24,217.9544,219.5718,217.8293,219.1097,95555295,SPY
2017-01-25,220.1687,221.0062,219.9857,221.0062,84437712,SPY
2017-01-26,220.8425,221.141,220.4671,220.7751,59970719,SPY
2017-01-27,220.8618,221.0254,220.2264,220.4286,59695224,SPY
2017-01-30,219.6584,219.6873,217.9641,219.0615,79737252,SPY
2017-01-31,218.5128,219.1097,217.8774,219.0423,75880805,SPY
2017-02-01,219.7402,220.0628,218.4743,219.1289,79117651,SPY
2017-02-02,218.7246,219.591,218.3588,219.2733,69657560,SPY
2017-02-03,220.2842,220.9869,219.9376,220.7848,80563168,SPY
2017-02-06,220.3323,220.7713,220.0146,220.3901,57790108,SPY
2017-02-07,220.8233,221.0886,220.1879,220.3997,57931151,SPY
2017-02-08,220.082,220.8329,219.7932,220.6885,51566218,SPY
2017-02-09,220.9966,222.3347,220.9581,221.9978,65955245,SPY
2017-02-10,222.3829,223.1241,222.0186,222.8738,66015892,SPY
2017-02-13,223.4226,224.3756,223.3937,224.0868,55182050,SPY
2017-02-14,223.8847,224.9918,223.4996,224.9821,71108983,SPY
2017-02-15,224.7415,226.3684,224.6837,226.1566,86785826,SPY
2017-02-16,226.1951,226.3829,225.1265,225.9641,84722437,SPY
2017-02-17,225.2228,226.3203,225.2036,226.3203,77204104,SPY
2017-02-21,226.7342,227.8606,226.7246,227.6681,88946051,SPY
2017-02-22,227.2156,227.7162,227.0327,227.4659,62115185,SPY
2017-02-23,228.0435,228.0628,226.7727,227.6199,74615902,SPY
2017-02-24,226.6765,227.9599,226.6283,227.9087,82381612,SPY
2017-02-27,227.8125,228.4575,227.5333,228.2649,56515440,SPY
2017-02-28,227.8413,228.1109,227.2108,227.6488,96961938,SPY
2017-03-01,229.4972,231.3552,229.4779,230.8353,149158170,SPY
2017-03-02,230.6235,230.6332,229.3239,229.3817,70245978,SPY
2017-03-03,229.2854,229.709,228.8618,229.5261,81974300,SPY
2017-03-06,228.6404,229.2372,228.1687,228.8425,55391533,SPY
2017-03-07,228.5056,228.9003,227.928,228.159,65103737,SPY
2017-03-08,228.4863,228.7752,227.5814,227.7354,78168795,SPY
2017-03-09,227.8702,228.3901,226.946,228.0243,90683918,SPY
2017-03-10,229.0928,229.141,227.7643,228.8233,81991652,SPY
2017-03-13,228.7559,228.9869,228.3901,228.9388,57256824,SPY
2017-03-14,228.3323,228.3901,227.3792,228.0628,59880778,SPY
2017-03-15,228.6981,230.508,228.4382,230.0363,96081750,SPY
2017-03-16,230.1903,230.277,229.218,229.5838,78343951,SPY
2017-03-17,229.8769,230.0896,229.1807,229.1807,89002111,SPY
2017-03-20,229.1807,229.4998,228.4942,228.9293,52536979,SPY
2017-03-21,229.6062,229.7415,225.845,225.99,131809275,SPY
2017-03-22,226.0287,226.8409,225.3325,226.5218,97569204,SPY
2017-03-23,226.2511,227.5467,225.8643,226.2801,100410277,SPY
